N,parameters,f=20,f=50,f=100
30000,P,0.5274927538664178,0.543683341079683,0.41535512621787557
30000,Q,0.26911965715448355,0.27835822958012446,0.22626758837736552
30000,b_u,0.19988274891445537,0.23824387907036834,0.22776372758223323
30000,b_i,0.31170811944968835,0.3107362921990711,0.3164820868897738
30000,t,0.07117762585496834,0.2289335777119737,0.07310052553586222
30000,beta,0.1591467142646648,0.37720797666436395,0.5798952208694145
50000,P,0.6652390297571519,0.6849518504228704,0.5446420719487302
50000,Q,0.3307262540887719,0.33813648215637315,0.27865800915726924
50000,b_u,0.22079465551892602,0.34454609287270727,0.298505908739119
50000,b_i,0.26429952170992105,0.31052287377335686,0.27493761811237794
50000,t,0.08290883318769637,0.14867805346071805,0.0119988859782455
50000,beta,0.14985368016381548,0.4146609768678827,1.4463814827067158
